,population
Alabama,4876250
Alaska,737067
Arizona,7050299
Arkansas,2999370
California,39283497
Colorado,5610349
Connecticut,3575073
Delaware,957248
District of Columbia,692683
Florida,20901636
Georgia,10403846
Hawaii,1422094
Idaho,1717750
Illinois,12770630
Indiana,6665703
Iowa,3139508
Kansas,2910651
Kentucky,4449052
Louisiana,4664362
Maine,1335492
Maryland,6018848
Massachusetts,6850553
Michigan,9965265
Minnesota,5563378
Mississippi,2984418
Missouri,6104910
Montana,1050649
Nebraska,1914571
Nevada,2972382
New Hampshire,1348124
New Jersey,8878503
New Mexico,2092454
New York,19572319
North Carolina,10264876
North Dakota,756716
Ohio,11655397
Oklahoma,3932870
Oregon,4129803
Pennsylvania,12791529
Rhode Island,1057231
South Carolina,5020806
South Dakota,870638
Tennessee,6709356
Texas,28260856
Utah,3096847
Vermont,624313
Virginia,8454463
Washington,7404107
West Virginia,1817305
Wisconsin,5790716
Wyoming,581024
